"label","naomprss_2006_105_110.md","naomprss_2006_111_116.md","naomprss_2006_117_126.md","naomprss_2006_127_132.md","naomprss_2006_133_138.md","naomprss_2006_139_146.md","naomprss_2006_147_156.md","naomprss_2006_15_22.md","naomprss_2006_157_158.md","naomprss_2006_159_160.md","naomprss_2006_161_164.md","naomprss_2006_165_166.md","naomprss_2006_167_168.md","naomprss_2006_169_170.md","naomprss_2006_171_172.md","naomprss_2006_173_174.md","naomprss_2006_175_176.md","naomprss_2006_177_178.md","naomprss_2006_23_30.md","naomprss_2006_31_38.md","naomprss_2006_39_46.md","naomprss_2006_47_54.md","naomprss_2006_55_62.md","naomprss_2006_63_68.md","naomprss_2006_69_76.md","naomprss_2006_7_14.md","naomprss_2006_77_82.md","naomprss_2006_83_88.md","naomprss_2006_89_98.md","naomprss_2006_99_104.md","naomprss_2007_101_110.md","naomprss_2007_111_116.md","naomprss_2007_117_122.md","naomprss_2007_123_130.md","naomprss_2007_131_140.md","naomprss_2007_141_148.md","naomprss_2007_149_158.md","naomprss_2007_159_168.md","naomprss_2007_169_174.md","naomprss_2007_17_26.md","naomprss_2007_175_178.md","naomprss_2007_179_180.md","naomprss_2007_181_182.md","naomprss_2007_183_186.md","naomprss_2007_187_188.md","naomprss_2007_189_190.md","naomprss_2007_191_192.md","naomprss_2007_193_194.md","naomprss_2007_195_196.md","naomprss_2007_197_198.md","naomprss_2007_27_34.md","naomprss_2007_35_42.md","naomprss_2007_43_50.md","naomprss_2007_51_60.md","naomprss_2007_61_68.md","naomprss_2007_69_76.md","naomprss_2007_7_16.md","naomprss_2007_77_84.md","naomprss_2007_85_92.md","naomprss_2007_93_100.md","naomprss_2008_103_116.md","naomprss_2008_117_124.md","naomprss_2008_125_132.md","naomprss_2008_133_142.md","naomprss_2008_143_150.md","naomprss_2008_151_162.md","naomprss_2008_163_168.md","naomprss_2008_169_180.md","naomprss_2008_17_22.md","naomprss_2008_181_188.md","naomprss_2008_189_192.md","naomprss_2008_193_196.md","naomprss_2008_197_200.md","naomprss_2008_201_204.md","naomprss_2008_205_206.md","naomprss_2008_207_210.md","naomprss_2008_211_212.md","naomprss_2008_213_216.md","naomprss_2008_217_218.md","naomprss_2008_219_220.md","naomprss_2008_23_30.md","naomprss_2008_31_42.md","naomprss_2008_43_50.md","naomprss_2008_51_60.md","naomprss_2008_61_68.md","naomprss_2008_69_76.md","naomprss_2008_7_16.md","naomprss_2008_77_84.md","naomprss_2008_85_94.md","naomprss_2008_95_102.md","naomprss_2009_103_112.md","naomprss_2009_113_129.md","naomprss_2009_130_139.md","naomprss_2009_140_155.md","naomprss_2009_156_165.md","naomprss_2009_166_175.md","naomprss_2009_176_187.md","naomprss_2009_188_195.md","naomprss_2009_196_204.md","naomprss_2009_205_215.md","naomprss_2009_216_225.md","naomprss_2009_226_239.md","naomprss_2009_240_256.md","naomprss_2009_257_280.md","naomprss_2009_281_291.md","naomprss_2009_292_296.md","naomprss_2009_297_300.md","naomprss_2009_301_304.md","naomprss_2009_305_307.md","naomprss_2009_308_314.md","naomprss_2009_315_317.md","naomprss_2009_318_321.md","naomprss_2009_322_325.md","naomprss_2009_326_328.md","naomprss_2009_329_332.md","naomprss_2009_55_62.md","naomprss_2009_63_70.md","naomprss_2009_71_87.md","naomprss_2009_88_94.md","naomprss_2009_95_102.md","naomprss_2010_111_119.md","naomprss_2010_120_130.md","naomprss_2010_131_141.md","naomprss_2010_142_148.md","naomprss_2010_149_165.md","naomprss_2010_166_176.md","naomprss_2010_17_20.md","naomprss_2010_177_185.md","naomprss_2010_186_201.md","naomprss_2010_202_217.md","naomprss_2010_21_24.md","naomprss_2010_218_238.md","naomprss_2010_239_251.md","naomprss_2010_25_28.md","naomprss_2010_252_261.md","naomprss_2010_262_271.md","naomprss_2010_272_280.md","naomprss_2010_281_291.md","naomprss_2010_29_31.md","naomprss_2010_292_299.md","naomprss_2010_32_39.md","naomprss_2010_40_42.md","naomprss_2010_43_46.md","naomprss_2010_47_50.md","naomprss_2010_51_54.md","naomprss_2010_55_59.md","naomprss_2010_60_69.md","naomprss_2010_70_87.md","naomprss_2010_88_96.md","naomprss_2010_97_110.md","naomprss_2011_102_117.md","naomprss_2011_118_136.md","naomprss_2011_137_147.md","naomprss_2011_148_157.md","naomprss_2011_158_172.md","naomprss_2011_173_181.md","naomprss_2011_182_203.md","naomprss_2011_204_224.md","naomprss_2011_225_251.md","naomprss_2011_25_37.md","naomprss_2011_252_271.md","naomprss_2011_272_276.md","naomprss_2011_277_281.md","naomprss_2011_282_289.md","naomprss_2011_290_294.md","naomprss_2011_295_299.md","naomprss_2011_300_304.md","naomprss_2011_305_309.md","naomprss_2011_310_315.md","naomprss_2011_316_321.md","naomprss_2011_322_326.md","naomprss_2011_38_50.md","naomprss_2011_51_76.md","naomprss_2011_77_90.md","naomprss_2011_91_101.md","naomprss_2012_114_133.md","naomprss_2012_134_171.md","naomprss_2012_172_184.md","naomprss_2012_18_33.md","naomprss_2012_185_208.md","naomprss_2012_209_231.md","naomprss_2012_232_246.md","naomprss_2012_247_269.md","naomprss_2012_270_282.md","naomprss_2012_283_308.md","naomprss_2012_309_332.md","naomprss_2012_333_344.md","naomprss_2012_34_49.md","naomprss_2012_345_351.md","naomprss_2012_352_357.md","naomprss_2012_358_363.md","naomprss_2012_364_370.md","naomprss_2012_371_378.md","naomprss_2012_379_384.md","naomprss_2012_385_393.md","naomprss_2012_394_401.md","naomprss_2012_402_408.md","naomprss_2012_50_80.md","naomprss_2012_81_95.md","naomprss_2012_96_113.md","naomprss_2013_114_136.md","naomprss_2013_13_31.md","naomprss_2013_137_147.md","naomprss_2013_148_169.md","naomprss_2013_170_179.md","naomprss_2013_180_204.md","naomprss_2013_205_217.md","naomprss_2013_218_224.md","naomprss_2013_225_232.md","naomprss_2013_233_241.md","naomprss_2013_242_243.md","naomprss_2013_244_245.md","naomprss_2013_32_67.md","naomprss_2013_68_89.md","naomprss_2013_90_98.md","naomprss_2013_99_113.md","naomprss_2014_10_24.md","naomprss_2014_104_126.md","naomprss_2014_127_134.md","naomprss_2014_135_154.md","naomprss_2014_155_164.md","naomprss_2014_165_190.md","naomprss_2014_191_203.md","naomprss_2014_204_210.md","naomprss_2014_211_216.md","naomprss_2014_217_222.md","naomprss_2014_223_228.md","naomprss_2014_229_236.md","naomprss_2014_237_245.md","naomprss_2014_246_247.md","naomprss_2014_25_57.md","naomprss_2014_58_81.md","naomprss_2014_82_90.md","naomprss_2014_91_103.md","naomprss_2015_10_27.md","naomprss_2015_110_117.md","naomprss_2015_118_127.md","naomprss_2015_128_144.md","naomprss_2015_145_155.md","naomprss_2015_156_163.md","naomprss_2015_164_190.md","naomprss_2015_191_202.md","naomprss_2015_203_215.md","naomprss_2015_216_221.md","naomprss_2015_222_227.md","naomprss_2015_228_234.md","naomprss_2015_235_242.md","naomprss_2015_28_55.md","naomprss_2015_56_80.md","naomprss_2015_81_91.md","naomprss_2015_92_109.md"
"3a. Definition of in-service date",19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,5,19,19,17,19,19,19,19,20,19,19,19,19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,5,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,24,19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3b. Performance against approved in-service date",43,43,43,43,43,43,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,43,43,43,43,43,41,43,49,43,43,43,43,43,43,43,43,43,43,43,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,43,43,43,43,43,43,41,43,43,43,35,43,43,43,43,43,43,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,43,41,43,43,43,43,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3c. Reasons for variation from approved ISD",63,41,93,51,90,63,104,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,51,54,85,110,41,37,73,50,63,75,76,51,62,56,51,57,43,82,61,51,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,35,56,59,35,51,58,51,36,47,47,NA,53,67,49,43,39,79,63,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,51,39,71,52,57,56,51,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3d. Cost resulting from ISD variation",54,59,47,50,57,43,59,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,54,49,54,50,52,54,47,54,6,61,54,43,56,47,63,7,37,82,59,56,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,53,47,52,52,52,7,54,55,40,43,NA,67,49,37,57,41,87,36,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,41,41,41,39,35,41,45,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SECTION 4: KEY USER REQUIREMENTS",2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,31,2,2,2,2,2,NA,2,8,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4a. Performance against approved key user requirements",98,178,177,119,110,195,107,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,191,NA,173,113,146,178,112,134,193,183,185,95,185,216,176,215,102,206,138,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,200,226,102,201,185,155,153,153,205,203,218,334,148,222,171,122,205,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,203,169,343,103,203,171,190,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4b. Reasons for variation against approved key requirements",31,29,NA,30,33,35,63,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,37,31,2,6,53,33,6,31,45,41,NA,6,6,39,53,36,54,35,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,36,6,31,6,41,6,35,31,31,NA,51,42,41,42,39,35,65,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,35,39,42,33,31,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5a. Description of the Assessment Phase",6,4,8,4,6,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12,10,12,6,6,5,53,8,10,5,12,4,6,4,4,8,6,6,4,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,10,6,5,8,8,4,19,12,4,4,4,6,4,4,4,4,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,15,6,20,26,6,5,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b. Cost of the Assessment Phase",48,48,50,48,48,48,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,48,48,48,48,48,57,48,48,48,48,48,48,48,48,48,48,48,NA,48,48,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,48,48,48,48,48,48,48,60,48,8,8,8,8,8,8,8,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,8,8,48,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c. Duration of Assessment Phase",29,29,29,29,29,29,35,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,29,29,29,29,29,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5d. Cost boundaries at Initial Gate and Main Gate Approvals",53,53,53,53,53,53,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,53,53,53,53,53,NA,53,53,53,53,53,53,53,53,53,53,53,59,53,63,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,53,53,53,33,53,53,NA,53,53,35,35,35,35,35,35,35,41,35,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,35,NA,35,35,35,51,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e. ISD boundaries at Initial Gate and Main Gate Approvals",51,51,53,53,51,47,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,49,39,57,49,49,57,2,39,47,59,53,49,39,39,51,49,47,39,37,47,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,39,51,49,49,51,41,45,49,49,35,NA,37,39,51,37,37,41,41,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,43,41,51,37,49,41,51,43,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3e. Operational impact of ISD variation",NA,4,4,NA,4,17,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,4,NA,4,4,NA,4,NA,4,NA,4,4,4,17,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,4,NA,NA,4,4,NA,NA,4,6,17,15,4,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,15,15,15,17,4,15,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
